Nederlands;International;Vlaams
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
Uitroepteken;Exclamation mark;Uitroepteken
Aanhalingsteken dubbel;Double Quote;Aanhalingsteken dubbel
Hekje;Hash;Hekje
Dollarteken;Dollar;Dollarteken
Procent;Percentage;Procent
Ampersand;Ampersand;Ampersand
Aanhalingsteken;Single Quote;Aanhalingsteken
Haakje openen;Left parenhesis;Haakje openen
Haakje sluiten;Right parenhesis;Haakje sluiten
Sterretje;Asterisk;Sterretje
Plus;Plus;Plus
Komma;Comma;Komma
Minteken;Minus;Minteken
Punt;Period;Punt
Schuine streep;Slash;Schuine streep
Nul;Null;Nul
Een;One;Een
Twee;Two;Twee
Drie;Three;Drie
Vier;Four;Vier
Vijf;Five;Vijf
Zes;Six;Zes
Zeven;Seven;Zeven
Acht;Eight;Acht
Negen;Nine;Negen
Dubbele punt;Colon;Dubbele punt
Punt-komma;Semicolon;Punt-komma
Kleiner dan;Less than;Kleiner dan
Is Gelijk teken;equals sign;gelijk aan
Groter dan;Greater than;Groter dan
Vraagteken;Questionmark;Vraagteken
Apenstaartje;AT;Apenstaartje
Hoofdletter Anna;Capital Amsterdam;Arthur
Hoofdletter Bernard;Capital Baltimore;Brussel
Hoofdletter Cornelis;Capital Casablanca;Carolina
Hoofdletter Dirk;Capital Danemark;Desir‚
Hoofdletter Eduard;Capital Edison;Emiel
Hoofdletter Ferdinand;Capital Florida;Frederik
Hoofdletter Gerard;Capital Gallipoli;Gustaaf
Hoofdletter Hendrik;Capital Havanna;Hendrik
Hoofdletter Isaak;Capital Italia;Isidoor
Hoofdletter Jan;Capital JÇ¸rusalem;Jozef
Hoofdletter Karel;Capital Kilogramme;Kilogram
Hoofdletter Lodewijk;Capital Liverpool;Leopold
Hoofdletter Maria;Capital Madagaskar;Maria
Hoofdletter Nico;Capital New York;Napoleon
Hoofdletter Otto;Capital Oslo;Oscar
Hoofdletter Pieter;Capital Paris;Piano
Hoofdletter Quotient;Capital QuÇ¸bec;Quoti‰nt
Hoofdletter Rudolf;Capital Roma;Robert
Hoofdletter Simon;Capital Santiago;Sofie
Hoofdletter Theodoor;Capital Tripoli;Telefoon
Hoofdletter Urecht;Capital Uppsala;Ursula
Hoofdletter Victor;Capital Valencia;Victor
Hoofdletter Willem;Capital Washington;Waterloo
Hoofdletter Xantippe;Capital Xantippe;Xavier
Hoofdletter Ypsilon;Capital Yokohama;Yvonne
Hoofdletter Zacharias;Capital ZÇ¬rich;Zola
Blokhaak links;Left Bracket;Blokhaak links
Backslash;Backslash;Backslash
Blokhaar rechts;Right Bracket;Blokhaak recchts
Dakje;Caret;Dakje
Underscore;Underscore;Underscore
;;
kleineletter Anna;small Amsterdam;Arthur
kleineletter Bernard;small Baltimore;Brussel
kleineletter Cornelis;small Casablanca;Carolina
kleineletter Dirk;small Danemark;Desir‚
kleineletter Eduard;small Edison;Emiel
kleineletter Ferdinand;small Florida;Frederik
kleineletter Gerard;small Gallipoli;Gustaaf
kleineletter Hendrik;small Havanna;Hendrik
kleineletter Isaak;small Italia;Isidoor
kleineletter Jan;small JÇ¸rusalem;Jozef
kleineletter Karel;small Kilogramme;Kilogram
kleineletter Lodewijk;small Liverpool;Leopold
kleineletter Maria;small Madagaskar;Maria
kleineletter Nico;small New York;Napoleon
kleineletter Otto;small Oslo;Oscar
kleineletter Pieter;small Paris;Piano
kleineletter Quotient;small QuÇ¸bec;Quoti‰nt
kleineletter Rudolf;small Roma;Robert
kleineletter Simon;small Santiago;Sofie
kleineletter Theodoor;small Tripoli;Telefoon
kleineletter Urecht;small Uppsala;Ursula
kleineletter Victor;small Valencia;Victor
kleineletter Willem;small Washington;Waterloo
kleineletter Xantippe;small Xantippe;Xavier
kleineletter Ypsilon;small Yokohama;Yvonne
kleineletter Zacharias;small ZÇ¬rich;Zola
